Kommune;Indikator;Indikator_Original;Einheit;Jahr;Wert;Dateiname
Bochum, kreisfreie Stadt;Landschaftsqualität;Landschaftsqualität (Hemerobiewert);Hemerobiewert;2020;5.3;bochum_Landschaftsqualitaet.csv
Bochum, kreisfreie Stadt;Landschaftsqualität;Landschaftsqualität (Hemerobiewert);Hemerobiewert;2021;5.3;bochum_Landschaftsqualitaet.csv
Bochum, kreisfreie Stadt;Landschaftsqualität;Landschaftsqualität (Hemerobiewert);Hemerobiewert;2022;;bochum_Landschaftsqualitaet.csv
Bochum, kreisfreie Stadt;Landschaftsqualität;Landschaftsqualität (Hemerobiewert);Hemerobiewert;2023;;bochum_Landschaftsqualitaet.csv
Bochum, kreisfreie Stadt;Langzeitarbeitslosenquote;Langzeitarbeitslosenquote (%);%;2016;5.6;bochum_Langzeitarbeitslosenquote.csv
Bochum, kreisfreie Stadt;Langzeitarbeitslosenquote;Langzeitarbeitslosenquote (%);%;2017;5.4;bochum_Langzeitarbeitslosenquote.csv
Bochum, kreisfreie Stadt;Langzeitarbeitslosenquote;Langzeitarbeitslosenquote (%);%;2018;5.0;bochum_Langzeitarbeitslosenquote.csv
Bochum, kreisfreie Stadt;Langzeitarbeitslosenquote;Langzeitarbeitslosenquote (%);%;2019;4.3;bochum_Langzeitarbeitslosenquote.csv
Bochum, kreisfreie Stadt;Langzeitarbeitslosenquote;Langzeitarbeitslosenquote (%);%;2020;4.7;bochum_Langzeitarbeitslosenquote.csv
Bochum, kreisfreie Stadt;Langzeitarbeitslosenquote;Langzeitarbeitslosenquote (%);%;2021;5.5;bochum_Langzeitarbeitslosenquote.csv
Bochum, kreisfreie Stadt;Langzeitarbeitslosenquote;Langzeitarbeitslosenquote (%);%;2022;4.8;bochum_Langzeitarbeitslosenquote.csv
Bochum, kreisfreie Stadt;Langzeitarbeitslosenquote;Langzeitarbeitslosenquote (%);%;2023;4.5;bochum_Langzeitarbeitslosenquote.csv
Bochum, kreisfreie Stadt;Liquiditätskredite;Liquiditätskredite (Euro je Einwohner:in);Euro je Einwohner:in;2016;2326.0;bochum_Liquiditaetskredite.csv
Bochum, kreisfreie Stadt;Liquiditätskredite;Liquiditätskredite (Euro je Einwohner:in);Euro je Einwohner:in;2017;2443.0;bochum_Liquiditaetskredite.csv
Bochum, kreisfreie Stadt;Liquiditätskredite;Liquiditätskredite (Euro je Einwohner:in);Euro je Einwohner:in;2018;2069.0;bochum_Liquiditaetskredite.csv
Bochum, kreisfreie Stadt;Liquiditätskredite;Liquiditätskredite (Euro je Einwohner:in);Euro je Einwohner:in;2019;1953.0;bochum_Liquiditaetskredite.csv
Bochum, kreisfreie Stadt;Liquiditätskredite;Liquiditätskredite (Euro je Einwohner:in);Euro je Einwohner:in;2020;1924.0;bochum_Liquiditaetskredite.csv
Bochum, kreisfreie Stadt;Liquiditätskredite;Liquiditätskredite (Euro je Einwohner:in);Euro je Einwohner:in;2021;1778.0;bochum_Liquiditaetskredite.csv
Bochum, kreisfreie Stadt;Liquiditätskredite;Liquiditätskredite (Euro je Einwohner:in);Euro je Einwohner:in;2022;1503.0;bochum_Liquiditaetskredite.csv
Bochum, kreisfreie Stadt;Liquiditätskredite;Liquiditätskredite (Euro je Einwohner:in);Euro je Einwohner:in;2023;1490.0;bochum_Liquiditaetskredite.csv
Bochum, kreisfreie Stadt;Luftschadstoffbelastung;Luftschadstoffbelastung (μg / m³);μg / m³;2016;12.78;bochum_Luftschadstoffbelastung.csv
Bochum, kreisfreie Stadt;Luftschadstoffbelastung;Luftschadstoffbelastung (μg / m³);μg / m³;2017;13.36;bochum_Luftschadstoffbelastung.csv
